PlayCode,shortTitlenoArticle,shortTitle,Genre,Author,AuthorTitlePage,GeneralTitlePageAuthor,InternalTitlePageAuthor,TitlePageTitle,GeneralTitlePageTitle,InternalTitlePageTitle,Printer,Publisher,Bookseller,TitlePageImprint,GeneralTitlePageImprint,InternalTitlePageImprint,TitlePagePublicationStatement,GeneralTitlePagePublicationStatement,InternalTitlePagePublicationStatement,PubPlace,UncertainPrintingDate,TitlePagePrintingDate,UncertainPerformDate,performDate,performDateQualified,CompanyFirstProduction,TitlePageCompany,Adult/Boy,TitlePageTheater,TitlePagePerformanceStatement,GeneralTitlePagePerformanceStatement,InternalTitlePagePerformanceStatement,Format,CollectionItem,CollectionDetails,paratextualMaterials,STC/Wing,ESTCNo,ESTCNo-URL,WigginsNo,DEEPNo,DEEPNo-URL,GregNo,ReelNo,TCPID,HoldingRepository,HoldingRepository-URL,Facsimiles,Other Editions,Folger Record URL,Hamnet Bib Id,SHC,printingDate,TCPTranscriptionStatus
Camp,"Campaspe (Alexander, Campaspe, and Diogenes)","Campaspe (Alexander, Campaspe, and Diogenes)",Comedies,John Lyly (Uncertain: No)|,,,,"A moste excellent Comedie of Alexander, Campaspe, and Diogenes,",,,Thomas Dawson (Uncertain: No)|,Thomas Cadman (Uncertain: No)|,,Imprinted at London for Thomas Cadman. 1584.,,,,,,London,No,1584,Yes,1583,[c.1583],Children of the Chapel (first)|Children of Paul's (first),Children of the Chapel (first)|Children of Paul's (first),Boy Company,,"Played beefore the Queenes Maiestie on twelfe day at night, by her Maiesties children, and the children of Poules.",,,quarto,No,,,STC 17047.5,S122289,http://estc.bl.uk/S122289,746,115,http://deep.sas.upenn.edu/115,84a,STC / 1523:03,A06583,Huntington,http://catalog.huntington.org/record=b1505342,,,,,158-A06583,1584,Phase 1
Gal,Gallathea,Gallathea,Comedies,John Lyly (Uncertain: No)|,,,,Gallathea,,,John Charlewood (Uncertain: No)|,Joan Broome (Uncertain: No)|,,"AT LONDON, Printed by Iohn Charlwoode for the VViddow Broome. 1592.",,,,,,London,No,1592,Yes,1585,[1583–1585],Children of Paul's (first),Children of Paul's (first),Boy Company,Greenwich (palace),"As it was playde before the Queenes Maiestie at Greene-wiche, on Newyeeres day at Night. By the Chyldren of Paules.",,,quarto,No,,,STC 17080,S109720,http://estc.bl.uk/S109720,754,140,http://deep.sas.upenn.edu/140,105a,STC / 430:07,A06619,Huntington,http://catalog.huntington.org/record=b1500755,,,,,158-A06619,1592,Phase 1
Midas,Midas,Midas,Comedies,John Lyly (Uncertain: No)|,,,,MIDAS,,,Thomas Scarlet (Uncertain: No)|,Joan Broome (Uncertain: No)|,,"LONDON, Printed by Thomas Scarlet for I. B. and are to be sold in Paules Churchyard at the signe of the Bible. 1592.",,,,,,London,No,1592,No,1589,1589,Children of Paul's (first),Children of Paul's (first),Boy Company,,"PLAIED BEFORE THE QVEENES MAIESTIE VPON TVVELFE DAY AT night, By the Children of Paules.",,,quarto,No,,,STC 17083,S109733,http://estc.bl.uk/S109733,835,141,http://deep.sas.upenn.edu/141,106a,STC / 554:08,A06621,Huntington,http://catalog.huntington.org/record=b1500764,,,http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=163508,163508,158-A06621,1592,Phase 1
SaP,Sappho and Phao,Sappho and Phao,Comedies,John Lyly (Uncertain: No)|,,,,Sapho and Phao,,,Thomas Dawson (Uncertain: No)|,Thomas Cadman (Uncertain: No)|,,Imprinted at London for Thomas Cadman. 1584.,,,,,,London,No,1584,Yes,1583,[c.1583],Children of the Chapel (first)|Children of Paul's (first),Children of the Chapel (first)|Children of Paul's (first),Boy Company,,"Played beefore the Queenes Maiestie on Shroue-tewsday, by her Maiesties Children, and the Boyes of Paules.",,,quarto,No,,,STC 17086,S2801,http://estc.bl.uk/S2801,753,111,http://deep.sas.upenn.edu/111,82a,STC / 1856:25,A06625,British Library,http://primocat.bl.uk/F?func=direct&local_base=ITEMV&doc_number=003250464,,,,,158-A06625,1584,Phase 1
JoM,"Jew of Malta, The",The Jew of Malta,Tragedies,Christopher Marlowe (Uncertain: No)|,CHRISTOPHER MARLO.,,,The Famous TRAGEDY OF THE RICH IEVV OF MALTA.,,,John Beale (Uncertain: No)|,Nicholas Vavasour (Uncertain: No)|,,"LONDON; Printed by I. B. for Nicholas Vavasour, and are to be sold at his Shop in the Inner-Temple, neere the Church. 1633.",,,,,,London,No,1633,Yes,1589,[c.1589–1590],Derby's (Strange's) Men,Queen Henrietta Maria's Men,Adult Company,Cockpit|Whitehall (palace),"AS IT VVAS PLAYD BEFORE THE KING AND QVEENE, IN HIS MAJESTIES Theatre at White-Hall, by her Majesties Servants at the Cock-pit.",,,quarto,No,,"DEDICATION: ""The Epistle Dedicatory"" to: Thomas Hammond (of Gray's Inn); from: Thomas Heywood [A3r]",STC 17412,S109853,http://estc.bl.uk/S109853,828,812,http://deep.sas.upenn.edu/812,475a,STC / 852:06,A06991,British Library,http://primocat.bl.uk/F?func=direct&local_base=ITEMV&doc_number=002387322,Folger STC 17412 copy 1 (not transcribed copy)| British Library Shelfmark 644.e.70 (not transcribed copy).,,http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=163561,163561,158-A06991_0,1633,Phase 1
1Tam,"Tamburlaine the Great, 1","Tamburlaine the Great, 1",Romance plays,Christopher Marlowe (Uncertain: No)|,,,,,"Tamburlaine the Great. Who, from a Scythian Shephearde, by his rare and woonderfull Conquests, became a most puissant and mightye Monarque. And (for his tyranny, and terrour in Warre) was tearmed, The Scourge of God.","[half-title: A3r] The two tragicall D[is]courses of mighty Tamburlaine, the Scythian Shepheard. &c.",Richard Jones (Uncertain: No)|,,,,LONDON. Printed by Richard Ihones: at the signe of the Rose and Crowne neere Holborne Bridge. 1590.,,,"Now first, and newlie published.",,London,No,1590,Yes,1587,[1587–1588],Admiral's (Nottingham's) Men,Admiral's (Nottingham's) Men,Adult Company,,,"Deuided into two Tragicall Discourses, as they were sundrie times shewed vpon Stages in the Citie of London. By the right honorable the Lord Admyrall, his seruantes.",,octavo,Yes,"Published as part of a pair of plays, containing: Tamburlaine the Great, 1; Tamburlaine the Great, 2.","TO THE READER: ""To the Reader"" headed ""To the Gentlemen Readers: and others that take pleasure in reading Histories"" signed ""R. I. Printer"" (Richard Jones) [A2r] OTHER PARATEXTS: Woodcut portrait of ""Tamburlaine, the great"" [F2v]",STC 17425,S122101,http://estc.bl.uk/S122101,784,5017.01,http://deep.sas.upenn.edu/5017.01,94a,STC / 852:07,A07004,Huntington,http://catalog.huntington.org/record=b1505199,,,,,158-A07004_01_0,1590,Phase 1
2Tam,"Tamburlaine the Great, 2","Tamburlaine the Great, 2",Romance plays,Christopher Marlowe (Uncertain: No)|,,,,,"Tamburlaine the Great Who, from a Scythian shephearde, by his rare and woonderfull conquests, became a most puissant and mightye monarque. And (for his tyranny, and terrour in warre) was tearmed, the scourge of God. Deuided into two tragicall discourses, as they were sundrie times shewed vpon stages in the citie of London.","[half-title: F3r] THE SECOND PART OF The bloody Conquests of mighty Tamburlaine. With his impassionate fury, for the death of his Lady and loue, faire Zenocrate: his fourme of exhortation and discipline to his three sons, and the maner of his own death.",Richard Jones (Uncertain: No)|,,,,LONDON. Printed by Richard Ihones: at the signe of the Rose and Crowne neere Holborne Bridge. 1590.,,,"Now first, and newlie published.",,London,No,1590,Yes,1588,[1587–1588],Admiral's (Nottingham's) Men,Admiral's (Nottingham's) Men,Adult Company,,,"as they were sundrie times shewed vpon Stages in the Citie of London. By the right honorable the Lord Admyrall, his seruantes.",,octavo,Yes,"Published as part of a pair of plays, containing: Tamburlaine the Great, 1; Tamburlaine the Great, 2.","TO THE READER: ""To the Reader"" headed ""To the Gentlemen Readers: and others that take pleasure in reading Histories"" signed ""R. I. Printer"" (Richard Jones) [A2r]",STC 17425,S122101,http://estc.bl.uk/S122101,789,5017.02,http://deep.sas.upenn.edu/5017.02,95a,STC / 852:07,A07004,Huntington,http://catalog.huntington.org/record=b1505199,,,,,158-A07004_02_0,1590,Phase 1
Paris,"Arraignment of Paris, The",The Arraignment of Paris,Pastoral plays,George Peele (Uncertain: No)|,,,,The Araygnement of Paris A PASTORALL,,,Henry Marsh (Uncertain: No)|,,,Imprinted at London by Henrie Marsh. ANNO. 1584,,,,,,London,No,1584,Yes,1581,[c.1581–1584],Children of the Chapel (first),Children of the Chapel (first),Boy Company,,"Presented before the Queenes Maiestie, by the Children of her Chappell.",,,quarto,No,,,STC 19530,S110334,http://estc.bl.uk/S110334,751,114,http://deep.sas.upenn.edu/114,83a,STC / 348:05,A09220,Huntington,http://catalog.huntington.org/record=b1501083,,,,,158-A09220,1584,Phase 1
SHJ4,Scottish History of James the Fourth,The Scottish History of James the Fourth,History plays,Robert Greene (Uncertain: No)|,"Robert Greene, Maister of Arts.",,,"THE SCOTTISH Historie of Iames the fourth, slaine at Flodden. Entermixed with a pleasant Comedie, presented by Oboram King of Fayeries",,,Thomas Creede (Uncertain: No)|,,,LONDON Printed by Thomas Creede. 1598.,,,,,,London,No,1598,Yes,1590,[c.1590],Unknown,,Adult Company,,As it hath bene sundrie times publikely plaide.,,,quarto,No,,,STC 12308,S105810,http://estc.bl.uk/S105810,854,255,http://deep.sas.upenn.edu/255,149a,STC / 344:22,A02168,Huntington,http://catalog.huntington.org/record=b1498480,,,http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=161075,161075,159-A02168,1598,Phase 1
EMO,Every Man Out of His Humor,Every Man Out of His Humor,Comedies,Ben Jonson (Uncertain: No)|,B. I.,,,The Comicall Satyre of EVERY MAN OVT OF HIS HVMOR.,,,Adam Islip (Uncertain: No)|,William Holme 3 (Uncertain: No)|,,"LONDON, Printed for William Holme, and are to be sold at his Shop at Sarjeants Inne gate in Fleetstreet. 1600.",,,,,,London,No,1600,No,1599,1599,Lord Chamberlain's (Hunsdon's) Men,,Adult Company,,Containing more than hath been Publickely Spoken or Acted. VVith the seuerall Character of euery Person.,,,quarto,No,,,STC 14767,S109225,http://estc.bl.uk/S109225,1216,284,http://deep.sas.upenn.edu/284,163a,STC / 346:13,A04648,Huntington,http://catalog.huntington.org/record=b1500452,,,,,159-A04648,1600,Phase 1
