PlayCode,shortTitle,Genre,Author,TitlePagePrintingDate,UncertainPerformDate,performDate,Format,printingDate,SHC,Act1,Act2,Act3,Act4,Act5,OathTotal
Camp,"Campaspe (Alexander, Campaspe, and Diogenes)",Comedies,John Lyly (Uncertain: No)|,1584,Yes,1583,quarto,1584,158-A06583,0,0,0,0,0,0
Gal,Gallathea,Comedies,John Lyly (Uncertain: No)|,1592,Yes,1585,quarto,1592,158-A06619,0,0,0,0,0,0
Midas,Midas,Comedies,John Lyly (Uncertain: No)|,1592,No,1589,quarto,1592,158-A06621,0,1,0,1,1,3
SaP,Sappho and Phao,Comedies,John Lyly (Uncertain: No)|,1584,Yes,1583,quarto,1584,158-A06625,0,0,0,0,0,0
JoM,The Jew of Malta,Tragedies,Christopher Marlowe (Uncertain: No)|,1633,Yes,1589,quarto,1633,158-A06991_0,0,0,0,0,0,0
1Tam,"Tamburlaine the Great, 1",Romance plays,Christopher Marlowe (Uncertain: No)|,1590,Yes,1587,octavo,1590,158-A07004_01_0,0,1,0,0,0,1
2Tam,"Tamburlaine the Great, 2",Romance plays,Christopher Marlowe (Uncertain: No)|,1590,Yes,1588,octavo,1590,158-A07004_02_0,0,0,0,0,1,1
Paris,The Arraignment of Paris,Pastoral plays,George Peele (Uncertain: No)|,1584,Yes,1581,quarto,1584,158-A09220,1,0,0,0,0,1
SHJ4,The Scottish History of James the Fourth,History plays,Robert Greene (Uncertain: No)|,1598,Yes,1590,quarto,1598,159-A02168,0,1,0,0,1,2
EMO,Every Man Out of His Humor,Comedies,Ben Jonson (Uncertain: No)|,1600,No,1599,quarto,1600,159-A04648,8,10,16,13,25,72
Endy,"Endymion, the Man in the Moon",Comedies,John Lyly (Uncertain: No)|,1591,No,1588,quarto,1591,159-A06589,0,0,0,0,0,0
LovMeta,Love's Metamorphosis,Pastoral plays,John Lyly (Uncertain: No)|,1601,Yes,1590,quarto,1601,159-A06620,0,0,0,0,0,0
MoBo,Mother Bombie,Comedies,John Lyly (Uncertain: No)|,1594,Yes,1591,quarto,1594,159-A06622,0,0,0,0,0,0
1AntMel,Antonio and Mellida,Tragicomedies,John Marston (Uncertain: No)|,1602,Yes,1599,quarto,1602,159-A07063,0,4,5,0,2,11
Locrine,Locrine,Tragedies,W. S. (Uncertain: No)|,1595,Yes,1594,quarto,1595,159-A11262,1,1,0,1,0,3
Cyrus,The Wars of Cyrus,Tragedies,Anonymous (Uncertain: No)|,1594,Yes,1588,quarto,1594,159-A19738,0,0,0,0,0,0
AEG,"Alphonsus, Emperor of Germany",Tragedies,Anonymous (Uncertain: No)|,1654,Yes,1594,quarto,1654,159-A31675,0,0,0,0,0,0
Goosecap,Sir Giles Goosecap,Comedies,George Chapman (Uncertain: No)|,1606,No,1602,quarto,1606,160-A01911,10,0,4,5,4,23
RKLS,The Royal King and the Loyal Subject,Tragicomedies,Thomas Heywood (Uncertain: No)|,1637,Yes,1602,quarto,1637,160-A03248,1,1,0,0,0,2
WWH,The Wise Woman of Hogsdon,Comedies,Thomas Heywood (Uncertain: No)|,1638,Yes,1604,quarto,1638,160-A03255,0,0,0,0,0,0
Devils,"The Devil's Charter, or Pope Alexander the Sixth",Tragedies,Barnabe Barnes (Uncertain: No)|,1607,No,1606,quarto,1607,160-A04539,0,0,0,2,1,3
Ram,"Ram Alley, or Merry Tricks",Comedies,Lording Barry (Uncertain: No)|,1611,Yes,1608,quarto,1611,160-A04881,1,1,0,0,4,6
CupRev,Cupid's Revenge,Tragedies,Francis Beaumont (Uncertain: No)| John Fletcher (Uncertain: No)|,1615,Yes,1608,quarto,1615,160-A06177,1,1,0,5,0,7
KBP,The Knight of the Burning Pestle,Comedies|Romance plays,Francis Beaumont (Uncertain: No)|,1613,No,1607,quarto,1613,160-A06252,1,2,0,0,0,3
Phil,Philaster,Tragicomedies,Francis Beaumont (Uncertain: No)| John Fletcher (Uncertain: No)|,1620,No,1609,quarto,1620,160-A06343,0,0,0,1,0,1
WoHa,The Woman Hater (The Hungry Courtier),Comedies,Francis Beaumont (Uncertain: No)| John Fletcher (Uncertain: No)|,1607,No,1606,quarto,1607,160-A06458,2,0,1,0,0,3
MMeta,The Maid's Metamorphosis,Comedies,Anonymous (Uncertain: No)|,1600,Yes,1600,quarto,1600,160-A06742,0,0,1,0,0,1
Dumb,The Dumb Knight,Comedies,Gervase Markham (Uncertain: No)| Lewis Machin (Uncertain: No)|,1608,Yes,1608,quarto,1608,160-A06975,3,2,4,0,0,9
2AntMel,"Antonio's Revenge (Antonio and Mellida, 2)",Tragedies,John Marston (Uncertain: No)|,1602,Yes,1600,quarto,1602,160-A07064,1,2,0,3,0,6
DC,The Dutch Courtesan (Cockle de Moye),Comedies,John Marston (Uncertain: No)|,1605,Yes,1605,quarto,1605,160-A07065,0,0,1,2,2,5
Malc,The Malcontent,Tragicomedies,John Marston (Uncertain: No)|,1604,Yes,1604,quarto,1604,160-A07071,0,0,0,0,1,1
Parasit,"Parasitaster, or The Fawn",Comedies,John Marston (Uncertain: No)|,1606,No,1604,quarto,1606,160-A07077,0,0,0,0,2,2
FL,The Family of Love,Comedies,Thomas Middleton (Uncertain: Yes)|,1608,Yes,1608,quarto,1608,160-A07495,0,0,0,0,0,0
MWMM,"A Mad World, My Masters",Comedies,Thomas Middleton (Uncertain: No)|,1608,Yes,1605,quarto,1608,160-A07504,2,1,3,8,5,19
MT,Michaelmas Term,Comedies,Thomas Middleton (Uncertain: No)|,1607,Yes,1604,quarto,1607,160-A07505,1,3,2,1,0,7
TCOO,A Trick to Catch the Old One,Comedies,Thomas Middleton (Uncertain: No)|,1608,No,1605,quarto,1608,160-A07511,1,0,0,1,0,2
CupWhi,Cupid's Whirligig,Comedies,Edward Sharpham (Uncertain: No)|,1607,No,1607,quarto,1607,160-A12074,0,0,3,6,2,11
Fleer,The Fleer,Comedies,Edward Sharpham (Uncertain: No)|,1607,No,1607,quarto,1607,160-A12078,1,0,0,1,0,2
AF,All Fools,Comedies,George Chapman (Uncertain: No)|,1605,No,1601,quarto,1605,160-A18400,3,3,0,2,2,10
BDA,Bussy D'Ambois,History plays,George Chapman (Uncertain: No)|,1607,Yes,1604,quarto,1607,160-A18403,4,0,0,0,0,4
EastHo,Eastward Ho,Comedies,George Chapman (Uncertain: No)| Ben Jonson (Uncertain: No)| John Marston (Uncertain: No)|,1605,No,1605,quarto,1605,160-A18407,12,3,7,4,0,26
GU,The Gentleman Usher (Vincentio and Margaret),Comedies,George Chapman (Uncertain: No)|,1606,Yes,1602,quarto,1606,160-A18413,5,0,4,6,2,17
MD,May Day,Comedies,George Chapman (Uncertain: No)|,1611,Yes,1602,quarto,1611,160-A18415,5,12,10,12,5,44
CaePom,Caesar and Pompey (The Wars of Caesar and Pompey),History plays,George Chapman (Uncertain: No)|,[1631],Yes,1605,quarto,1631,160-A18425,0,1,0,0,0,1
WT,The Widow's Tears,Comedies,George Chapman (Uncertain: No)|,1612,Yes,1604,quarto,1612,160-A18426,2,4,1,2,3,12
Hoff,"Hoffman, or a Revenge for a Father",Tragedies,Henry Chettle (Uncertain: No)|,1631,No,1602,quarto,1631,160-A18596,0,1,0,0,1,2
CLP,Contention between Liberality and Prodigality,Morality plays,Anonymous (Uncertain: No)|,1602,No,1601,quarto,1602,160-A19182,0,0,0,2,0,2
BBanq,The Bloody Banquet,Tragedies,Thomas Dekker (Uncertain: No)| Thomas Middleton (Uncertain: No)|,1639,Yes,1608,quarto,1639,160-A19755,1,1,0,1,0,3
Philotas,Philotas,Tragedies,Samuel Daniel (Uncertain: No)|,1605,No,1604,octavo,1605,160-A19812_03,1,0,0,0,0,1
HOB,Humor Out of Breath,Comedies,John Day (Uncertain: No)|,1608,Yes,1608,quarto,1608,160-A19975,0,1,3,6,1,11
LawTri,Law Tricks,Comedies,John Day (Uncertain: No)|,1608,Yes,1604,quarto,1608,160-A19977,0,1,0,5,1,7
TTEB,The Travels of the Three English Brothers,History plays,John Day (Uncertain: No)| George Wilkins (Uncertain: No)| William Rowley (Uncertain: No)|,1607,No,1607,quarto,1607,160-A19978,0,0,0,0,1,1
WestHo,Westward Ho,Comedies,Thomas Dekker (Uncertain: No)| John Webster (Uncertain: No)|,1607,No,1604,quarto,1607,160-A20100,1,2,0,4,6,13
JDrum,Jack Drum's Entertainment (Katherine and Pasquil),Comedies,John Marston (Uncertain: No)|,1601,No,1600,quarto,1601,160-A20867,0,0,1,1,0,2
NobleG,The Noble Gentleman,Comedies,John Fletcher (Uncertain: No)| Francis Beaumont (Uncertain: Yes)|,1647,Yes,1606,folio,1647,160-A27177_05,1,0,0,0,1,2
